anime_id,genre
53223,Demographic::Seinen Seinen
52198,Comedy Comedy
52198,Drama Drama
52198,Romance Romance
52198,Demographic::Seinen Seinen
48569,Drama Drama
48569,Sci-Fi Sci-Fi
48569,Theme::Mecha Mecha
48569,Theme::Military Military
24701,Adventure Adventure
24701,Mystery Mystery
24701,Slice of Life Slice of Life
24701,Supernatural Supernatural
24701,Theme::Adult Cast Adult Cast
24701,Theme::Historical Historical
24701,Theme::Iyashikei Iyashikei
24701,Demographic::Seinen Seinen
39894,Theme::Music Music
39894,Theme::Performing Arts Performing Arts
39894,Theme::School School
55690,Comedy Comedy
55690,Romance Romance
55690,Demographic::Shounen Shounen
32935,Theme::School School
32935,Theme::Team Sports Team Sports
32935,Demographic::Shounen Shounen
44074,Drama Drama
44074,Mystery Mystery
44074,Suspense Suspense
44074,Theme::Adult Cast Adult Cast
44074,Theme::Super Power Super Power
44074,Theme::Time Travel Time Travel
59192,Action Action
59192,Supernatural Supernatural
59192,Demographic::Shounen Shounen
45649,Award Winning Award Winning
45649,Sports Sports
45649,Theme::School School
45649,Theme::Team Sports Team Sports
45649,Demographic::Shounen Shounen
48583,Action Action
48583,Drama Drama
48583,Suspense Suspense
48583,Theme::Gore Gore
48583,Theme::Military Military
48583,Theme::Survival Survival
48583,Demographic::Shounen Shounen
50172,Action Action
50172,Comedy Comedy
50172,Supernatural Supernatural
199,Adventure Adventure
199,Award Winning Award Winning
199,Fantasy Fantasy
21,Action Action
21,Adventure Adventure
21,Fantasy Fantasy
21,Demographic::Shounen Shounen
47778,Action Action
47778,Supernatural Supernatural
47778,Demographic::Shounen Shounen
51009,Action Action
51009,Supernatural Supernatural
51009,Theme::Gore Gore
51009,Theme::School School
51009,Demographic::Shounen Shounen
245,Theme::Delinquents Delinquents
245,Theme::School School
245,Theme::Workplace Workplace
245,Demographic::Shounen Shounen
53998,Action Action
53998,Adventure Adventure
53998,Supernatural Supernatural
53998,Demographic::Shounen Shounen
40434,Action Action
40434,Adventure Adventure
40434,Drama Drama
40434,Fantasy Fantasy
40434,Mystery Mystery
40434,Theme::Historical Historical
40434,Theme::Mythology Mythology
40434,Theme::Reincarnation Reincarnation
164,Action Action
164,Adventure Adventure
164,Award Winning Award Winning
164,Fantasy Fantasy
44,Action Action
44,Drama Drama
44,Romance Romance
44,Theme::Adult Cast Adult Cast
44,Theme::Historical Historical
44,Theme::Samurai Samurai
44,Demographic::Shounen Shounen
431,Adventure Adventure
431,Award Winning Award Winning
431,Drama Drama
431,Fantasy Fantasy
431,Romance Romance
50399,Action Action
50399,Adventure Adventure
50399,Drama Drama
50399,Fantasy Fantasy
50399,Theme::Historical Historical
50399,Theme::Mythology Mythology
33095,Theme::Adult Cast Adult Cast
33095,Theme::Historical Historical
33095,Theme::Love Polygon Love Polygon
33095,Theme::Performing Arts Performing Arts
33095,Demographic::Josei Josei
457,Adventure Adventure
457,Mystery Mystery
457,Slice of Life Slice of Life
457,Supernatural Supernatural
457,Theme::Adult Cast Adult Cast
457,Theme::Historical Historical
457,Theme::Iyashikei Iyashikei
457,Demographic::Seinen Seinen
21939,Adventure Adventure
21939,Mystery Mystery
21939,Slice of Life Slice of Life
21939,Supernatural Supernatural
21939,Theme::Adult Cast Adult Cast
21939,Theme::Historical Historical
21939,Theme::Iyashikei Iyashikei
21939,Demographic::Seinen Seinen
1575,Award Winning Award Winning
1575,Drama Drama
1575,Sci-Fi Sci-Fi
1575,Theme::Mecha Mecha
1575,Theme::Military Military
1575,Theme::School School
1575,Theme::Super Power Super Power
33050,Action Action
33050,Fantasy Fantasy
52215,Demographic::Seinen Seinen
23273,Drama Drama
23273,Romance Romance
23273,Theme::Love Polygon Love Polygon
23273,Theme::Music Music
23273,Theme::Performing Arts Performing Arts
23273,Theme::School School
23273,Demographic::Shounen Shounen
49818,Action Action
49818,Fantasy Fantasy
49818,Mystery Mystery
49818,Suspense Suspense
49818,Theme::Adult Cast Adult Cast
49818,Theme::Isekai Isekai
57864,Comedy Comedy
57864,Mystery Mystery
57864,Supernatural Supernatural
49413,Drama Drama
49413,Mystery Mystery
49413,Suspense Suspense
49413,Theme::Adult Cast Adult Cast
49413,Theme::Super Power Super Power
49413,Theme::Time Travel Time Travel
58125,Demographic::Shounen Shounen
34599,Adventure Adventure
34599,Drama Drama
34599,Fantasy Fantasy
34599,Mystery Mystery
34599,Sci-Fi Sci-Fi
11665,Slice of Life Slice of Life
11665,Supernatural Supernatural
11665,Theme::Iyashikei Iyashikei
11665,Theme::Mythology Mythology
11665,Demographic::Shoujo Shoujo
59845,Drama Drama
59845,Romance Romance
57647,Theme::Anthropomorphic Anthropomorphic
57647,Theme::Racing Racing
40591,Comedy Comedy
40591,Romance Romance
40591,Demographic::Seinen Seinen
5258,Demographic::Shounen Shounen
2001,Adventure Adventure
2001,Award Winning Award Winning
2001,Sci-Fi Sci-Fi
56784,Action Action
56784,Adventure Adventure
56784,Supernatural Supernatural
56784,Demographic::Shounen Shounen
46102,Award Winning Award Winning
46102,Drama Drama
46102,Mystery Mystery
46102,Suspense Suspense
46102,Theme::Adult Cast Adult Cast
46102,Theme::Anthropomorphic Anthropomorphic
46102,Theme::Organized Crime Organized Crime
35760,Action Action
35760,Drama Drama
35760,Suspense Suspense
