character_id,person_id,language
644,645,Japanese
646,647,Japanese
648,94,Japanese
649,173,Japanese
650,651,Japanese
656,657,Japanese
658,487,Japanese
659,660,Japanese
661,204,Japanese
662,73,Japanese
663,664,Japanese
665,382,Japanese
666,523,Japanese
667,668,Japanese
669,670,Japanese
675,676,Japanese
677,678,Japanese
679,680,Japanese
681,682,Japanese
683,684,Japanese
685,686,Japanese
687,688,Japanese
689,690,Japanese
691,692,Japanese
693,694,Japanese
700,701,Japanese
702,703,Japanese
704,356,Japanese
705,186,Japanese
706,707,Japanese
708,709,Japanese
710,711,Japanese
712,104,Japanese
713,27,Japanese
714,220,Japanese
562,563,Japanese
568,550,Japanese
564,140,Japanese
719,166,Japanese
569,570,Japanese
565,566,Japanese
572,471,Japanese
571,69,Japanese
567,505,Japanese
573,349,Japanese
723,724,Japanese
725,726,Japanese
727,728,Japanese
729,730,Japanese
731,724,Japanese
732,322,Japanese
733,380,Japanese
734,735,Japanese
736,737,Japanese
738,81,Japanese
141,142,Japanese
143,144,Japanese
145,146,Japanese
139,140,Japanese
149,150,Japanese
151,152,Japanese
153,154,Japanese
155,156,Japanese
157,158,Japanese
581,21,Japanese
372,171,Japanese
373,374,Japanese
375,290,Japanese
376,11,Japanese
486,487,Japanese
377,378,Japanese
379,380,Japanese
381,382,Japanese
383,384,Japanese
385,386,Japanese
744,745,Japanese
746,747,Japanese
748,226,Japanese
749,102,Japanese
750,751,Japanese
752,753,Japanese
754,52,Japanese
755,756,Japanese
757,758,Japanese
759,760,Japanese
7,8,Japanese
10,11,Japanese
12,13,Japanese
14,15,Japanese
16,17,Japanese
18,19,Japanese
20,21,Japanese
22,23,Japanese
24,25,Japanese
700,701,Japanese
765,766,Japanese
702,703,Japanese
705,186,Japanese
704,356,Japanese
706,707,Japanese
767,768,Japanese
710,711,Japanese
712,104,Japanese
769,770,Japanese
372,171,Japanese
373,374,Japanese
375,290,Japanese
376,11,Japanese
377,378,Japanese
381,382,Japanese
773,184,Japanese
774,775,Japanese
776,777,Japanese
778,779,Japanese
213,214,Japanese
219,220,Japanese
215,216,Japanese
217,218,Japanese
223,224,Japanese
221,222,Japanese
225,226,Japanese
227,21,Japanese
228,229,Japanese
230,96,Japanese
786,102,Japanese
787,788,Japanese
789,349,Japanese
790,226,Japanese
791,792,Japanese
793,278,Japanese
794,795,Japanese
796,797,Japanese
798,799,Japanese
800,421,Japanese
806,807,Japanese
228,808,Japanese
809,810,Japanese
811,812,Japanese
814,684,Japanese
815,816,Japanese
817,179,Japanese
818,819,Japanese
820,821,Japanese
829,830,Japanese
831,832,Japanese
833,834,Japanese
835,94,Japanese
836,837,Japanese
838,839,Japanese
840,841,Japanese
842,843,Japanese
844,845,Japanese
846,847,Japanese
857,858,Japanese
859,860,Japanese
861,525,Japanese
862,71,Japanese
863,154,Japanese
864,865,Japanese
866,290,Japanese
867,868,Japanese
869,847,Japanese
870,40,Japanese
876,877,Japanese
878,607,Japanese
879,75,Japanese
880,100,Japanese
881,77,Japanese
882,883,Japanese
884,110,Japanese
885,351,Japanese
886,622,Japanese
887,888,Japanese
895,365,Japanese
896,296,Japanese
897,214,Japanese
898,294,Japanese
899,900,Japanese
901,902,Japanese
903,469,Japanese
904,905,Japanese
906,907,Japanese
908,909,Japanese
915,56,Japanese
916,434,Japanese
917,642,Japanese
918,919,Japanese
920,349,Japanese
921,296,Japanese
922,276,Japanese
923,471,Japanese
924,469,Japanese
925,40,Japanese
931,932,Japanese
933,934,Japanese
935,936,Japanese
937,938,Japanese
939,425,Japanese
940,941,Japanese
942,943,Japanese
944,550,Japanese
945,270,Japanese
946,947,Japanese
141,142,Japanese
143,144,Japanese
145,146,Japanese
139,140,Japanese
149,150,Japanese
151,152,Japanese
153,154,Japanese
155,156,Japanese
157,158,Japanese
581,21,Japanese
637,296,Japanese
638,639,Japanese
640,186,Japanese
643,351,Japanese
641,642,Japanese
644,645,Japanese
646,647,Japanese
648,94,Japanese
650,651,Japanese
